Label,Intent,Questions
0,Statement request,i would like a copy of my statement
0,Statement request,please send me a copy of my statement
0,Statement request,how can I get my statement?
0,Statement request,I want a hard copy of my statement
0,Statement request,statement request please
0,Statement request,request for statement
1,Passbook savings accounts,how can I get my passbook statement
1,Passbook savings accounts,send me my OCBC account passbook statement
1,Passbook savings accounts,mail me my passbook account statement
1,Passbook savings accounts,give me my passbook statement
1,Passbook savings accounts,email softcopy of passbook statement
1,Passbook savings accounts,I would like a copy of my passbook statement
2,Card statements,I want my card statement
2,Card statements,statement for my cards
2,Card statements,how can I view my card statement?
2,Card statements,get a copy of my card statements
2,Card statements,see card statements
2,Card statements,card transaction statements
2,Card statements,view my card statements
3,Credit card statement,can I have my credit card statement?
3,Credit card statement,I want my credit card statement
3,Credit card statement,please mail me my credit card statement
3,Credit card statement,send me credit card statement
3,Credit card statement,how to view my credit card statement?
3,Credit card statement,check credit card statement.
6,Debit card statement,can I have my debit card statement?
6,Debit card statement,I want my credit debit statement
6,Debit card statement,please mail me my debit card statement
6,Debit card statement,send me credit debit statement
6,Debit card statement,how to view my debit card statement?
6,Debit card statement,check debit card statement.
7,Investment account statement,send me my investment account statement
7,Investment account statement,how can I view my investment account statement
7,Investment account statement,please tell me how to obtain a copy of my investment account statement
7,Investment account statement,send investment account statement
7,Investment account statement,statement of my investment account.
8,Home loan account statement,home loan account statement
8,Home loan account statement,view home loan statement
8,Home loan account statement,can I have my home loan statement?
8,Home loan account statement,where can I find the statement for home loans?
8,Home loan account statement,I want to see my loan statement
8,Home loan account statement,send a copy of my home loan statement
8,Home loan account statement,i want my housing loan statement
8,Home loan account statement,view housing loan statement
8,Home loan account statement,where is my property loan statement?
8,Home loan account statement,statement for housing loan
8,Home loan account statement,statemnt for property loan
12,360 Account interest dispute,why is my interest so low?
12,360 Account interest dispute,my 360 account interest is too low
12,360 Account interest dispute,why is my interest rate so low?
12,360 Account interest dispute,dispute interest amount.
12,360 Account interest dispute,low 360 account interest
12,360 Account interest dispute,account interest too low
12,360 Account interest dispute,bonus interest is not correct
12,360 Account interest dispute,incorrect bonus interest
12,360 Account interest dispute,incorrect interest payment for 360 account
12,360 Account interest dispute,step up bonus
12,360 Account interest dispute,step up interest
12,360 Account interest dispute,salary bonus rate
12,360 Account interest dispute,check salary bonus
12,360 Account interest dispute,check wealth bonus
12,360 Account interest dispute,what is my wealth interest
17,Change of billing cycle,I want to change my credit card billing cycle
17,Change of billing cycle,how to change billing cycle
17,Change of billing cycle,credit card billing cycle change
17,Change of billing cycle,what is my card billing cycle?
17,Change of billing cycle,amend my billing cycle
17,Change of billing cycle,change dates for billing cycle
18,Token Activation,how can i activate my onetoken?
18,Token Activation,how can i activate my one token?
18,Token Activation,one token activation
18,Token Activation,onetoken activation
18,Token Activation,activate hardware token
18,Token Activation,show me how to activate the token
18,Token Activation,how to do token activation
18,Token Activation,how to turn on the token?
18,Token Activation,how do i turn on the onetoken?
18,Token Activation,activation of onetoken
18,Token Activation,activation of token
18,Token Activation,
23,Student Loan,where can i get a student loan?
23,Student Loan,i want a student loan.
23,Student Loan,student loan options
23,Student Loan,can i get a student loan for local university?
23,Student Loan,student loans for overseas universities
23,Student Loan,student loans for private institutions
23,Student Loan,loans for tertiary study
23,Student Loan,loans for overseas studies
24,Tuition fee loan,tuition fee loan
24,Tuition fee loan,i want to apply for a tuition fee loan
24,Tuition fee loan,what is the criteria for tuition fee loan
24,Tuition fee loan,what tuition fee loans do you have?
24,Tuition fee loan,find out about tuition fee loans
25,Education loan,education loan
25,Education loan,i want to apply for a education loan
25,Education loan,what is the criteria for an education loan?
25,Education loan,what education loans do you have?
25,Education loan,find out about education loans
25,Education loan,how to get an education loan
26,Study loan,study loan
26,Study loan,i want to apply for a study loan
26,Study loan,what is the criteria for a study loan?
26,Study loan,what study loans do you have?
26,Study loan,find out about study loans
26,Study loan,how to get a study loan
27,Car loan full settlement,i want to pay off my car loan
27,Car loan full settlement,how to fully pay off my car loan
27,Car loan full settlement,pay my car loan in full
27,Car loan full settlement,pay up my car loan
27,Car loan full settlement,how can I settle my car loan in full?
27,Car loan full settlement,I want to pay off my entire car loan
27,Car loan full settlement,
27,Car loan full settlement,
28,Home loan repayment,can i repay my home loan?
28,Home loan repayment,show me how to make a repayment of my home loan
28,Home loan repayment,how do i repay my loan?
28,Home loan repayment,partially repay my home loan.
28,Home loan repayment,pay back my loan
28,Home loan repayment,how to make partial repayment of home loan?
28,Home loan repayment,i want to repay my home loan in full
28,Home loan repayment,i want to make a full repayment of my home loan
28,Home loan repayment,how to fully repay my home loan?
31,Cancel Fund Transfer,can i cancel a fund transfer?
31,Cancel Fund Transfer,how to cancel a fund transfer i made ?
31,Cancel Fund Transfer,cancel a fund transfer
31,Cancel Fund Transfer,stop my fund transfer
31,Cancel Fund Transfer,halt a fund transfer
31,Cancel Fund Transfer,
32,Cancel credit card transaction,can you cancel this transaction on my card?
32,Cancel credit card transaction,how to cancel a transaction on my credit card?
32,Cancel credit card transaction,cancelling a credit card transaction
32,Cancel credit card transaction,how do i void a transaction on my credit card
32,Cancel credit card transaction,there are transactions on my credit card i did not make
32,Cancel credit card transaction,I want to cancel a transaction
36,Credit Refund,"i have money inside my credit card, can you transfer it back to me?"
36,Credit Refund,can i have a credit refund?
36,Credit Refund,how can i get a refund for my credit card?
36,Credit Refund,get my credit balance from card
36,Credit Refund,can offset next month's balance?
36,Credit Refund,how to transfer money from my credit card?
41,Account opening for foreigners,i'm a foreigner. how can i open an OCBC account?
41,Account opening for foreigners,can foreigners open ocbc accounts?
41,Account opening for foreigners,i'm new in singapore and would like to open an ocbc bank account
41,Account opening for foreigners,can foreigners open a bank account?
41,Account opening for foreigners,"i am from overseas, can i open an account?"
41,Account opening for foreigners,can non Singaporeans open a bank account?
41,Account opening for foreigners,ocbc account for non-Singaporeans
41,Account opening for foreigners,can non singaporeans open an ocbc account?
41,Account opening for foreigners,how can i open an account if i am not from singapore
41,Account opening for foreigners,"i am from overseas, can i open a account?"
44,Mobile Banking Issues,unable to log into mobile banking
44,Mobile Banking Issues,mobile banking has problems
44,Mobile Banking Issues,issues with mobile banking
44,Mobile Banking Issues,why wont my mobile banking load?
44,Mobile Banking Issues,cannot log into mobile banking
44,Mobile Banking Issues,your mobile banking app sucks
44,Mobile Banking Issues,mobile banking app not working
44,Mobile Banking Issues,mobile banking is not working
47,Account Fraud,what should i do if im being scammed
47,Account Fraud,i think someone scammed my account
47,Account Fraud,suspected account fraud
47,Account Fraud,fraudulent transactions on my account
47,Account Fraud,i think someone is stealing money from my account
47,Account Fraud,what to do if i encounter fraud?
47,Account Fraud,there are unusual transactions on my card
47,Account Fraud,there are transactions on my card i did not make
48,Dormant Account Activation,how to activate an inactive account
48,Dormant Account Activation,i have not used my account for a while. how to activate?
48,Dormant Account Activation,reactivate my account
48,Dormant Account Activation,my account has been deactivated
48,Dormant Account Activation,please help me reactivate my account
48,Dormant Account Activation,i have not used my account for a while and i cannot log in.
48,Dormant Account Activation,activate a dormant account
48,Dormant Account Activation,activation of dormant account.
48,Dormant Account Activation,how to activate an account that has been dormant?
49,CRS Enquiries,CRS enquires
49,CRS Enquiries, update tax residency status
49,CRS Enquiries,common reporting standards
49,CRS Enquiries,tax residency declaration
50,SRS Contribution,How can i contribute to my ocbc srs account?
50,SRS Contribution,srs account contribution
50,SRS Contribution,i want to increase my contribution to my srs account
50,SRS Contribution,change srs account contribtion
51,Dispute status,why are you taking so long to get back to me regarding my dispute?
51,Dispute status,check status of my dispute
51,Dispute status,i filed a dispute 2 weeks ago. how can i check on the status?
51,Dispute status,enquire on dispute resolution status.
51,Dispute status,i informed the bank on a dispute and would like to check the outcome
51,Dispute status,outcome of dispute 
52,Give a compliment,your staff are very kind
52,Give a compliment,staff are very patient
52,Give a compliment,I was well served by your staff.
52,Give a compliment,i want to compliment a member of your staff
52,Give a compliment,how to give feedback?
52,Give a compliment,i'm very happy with your service
52,Give a compliment,your staff were very professional
52,Give a compliment,thank you ocbc
52,Give a compliment,very grateful for your staff
52,Give a compliment,i had a pleasant experience
52,Give a compliment,i had an amazing experience banking with you
52,Give a compliment,your branch staff was very helpful
52,Give a compliment,i'm very touched by your service
52,Give a compliment,you are simply spot on!
53,File a complaint,i want to make a complain.
53,File a complaint,how to make a complain
53,File a complaint,i want to give feedback
53,File a complaint,your bank sucks
53,File a complaint,customer service sucks
53,File a complaint,why is the bank so slow
53,File a complaint,service too slow
53,File a complaint,your staff are slow
53,File a complaint,your staff are inefficient
53,File a complaint,your staff are rude
53,File a complaint,ocbc sucks big time
53,File a complaint,ocbc is the worse bank ever
54,Funds Transfer Status,how can i check my fund transfer status?
54,Funds Transfer Status,please check status of my transfer.
54,Funds Transfer Status,how to check whether my funds have been transferred?
54,Funds Transfer Status,fund transfer status
54,Funds Transfer Status,check if my recipient has received my fund transfer.
54,Funds Transfer Status,i recently transferred some funds. How to check if it has gone through?
57,Telegraphic transfer Status,How can i check the fund transfer status?
57,Telegraphic transfer Status,telegraphic transfer status.
57,Telegraphic transfer Status,need to check TT status. recipient claims he did not receive the funds.
57,Telegraphic transfer Status,my recipient says he did not receive my tt transfer. how to check?
57,Telegraphic transfer Status,tt transfer status 
57,Telegraphic transfer Status,has my telegraphic transfer gone through?
57,Telegraphic transfer Status,was my tt successful?
57,Telegraphic transfer Status,how to find out if my funds were transferred?
58,Make a telegraphic transfer,how can it transfer find in or out of my account?
58,Make a telegraphic transfer,how to do a telegraphic transfers?
58,Make a telegraphic transfer,i want to tt funds.
58,Make a telegraphic transfer,how to tt funds to another account
58,Make a telegraphic transfer,tt transfer to another account
58,Make a telegraphic transfer,please advise how to do a tt 
58,Make a telegraphic transfer,
61,Unable to log into internet banking,why cant i log into internet banking?
61,Unable to log into internet banking,cannot log into internet banking
61,Unable to log into internet banking,internet banking login issues.
61,Unable to log into internet banking,problem logging into internet banking
61,Unable to log into internet banking,cannot access my internet banking.
61,Unable to log into internet banking,locked out of internet banking.
61,Unable to log into internet banking,internet baking website lock out.
64,Card application status,what is the status of my card application
64,Card application status,how to check card application status?
64,Card application status,status of my credit card application.
64,Card application status,I applied for a credit card last week. can i check the application status?
64,Card application status,check status of credit card application.
64,Card application status,help me check the status of my card application
64,Card application status,i applied for a card last week. Is it ready?
64,Card application status,is my card application approved?
65,Supplementary card application,how do i apply for a supplementary card?
65,Supplementary card application,i want to apply for a supp card
65,Supplementary card application,supp card application for my child
65,Supplementary card application,sup card application
65,Supplementary card application,i need a supplementary card
65,Supplementary card application,how can i get a supplementary card?
65,Supplementary card application,how can i get a sup card?
65,Supplementary card application,
65,Supplementary card application,
66,Access codes for banking services,what is my access code?
66,Access codes for banking services,phone banking access code
66,Access codes for banking services,what is my internet banking access code
66,Access codes for banking services,i need the access code for my internet banking
66,Access codes for banking services,how to get phone banking access code?
66,Access codes for banking services,access codes for internet banking services
66,Access codes for banking services,where can i find my access code?
69,Interest or Late fee waiver,please waive my credit card interest
69,Interest or Late fee waiver,please waive my late fees
69,Interest or Late fee waiver,how to waive card interest?
69,Interest or Late fee waiver,waiver for credit card interest
69,Interest or Late fee waiver,loan account late fee waiver
69,Interest or Late fee waiver,late fee waiver for my loans
69,Interest or Late fee waiver,waiver for credit card late fees
69,Interest or Late fee waiver,late fee waiver
69,Interest or Late fee waiver,i want to waive my credit card late fees
69,Interest or Late fee waiver,i need to waive card interest fee
73,Annual Fee Waiver,please waive my card annual fee
73,Annual Fee Waiver,credit card fee waiver
73,Annual Fee Waiver,annual fee waiver for card
73,Annual Fee Waiver,how to get my credit card fee waived?
73,Annual Fee Waiver,i want to waive my credit card fee.
73,Annual Fee Waiver,
77,SMS Alerts,can you send me SMS notifications for fund transfers?
77,SMS Alerts,can you send me SMS alerts when i make transactions?
77,SMS Alerts,how to activate sms notification?
77,SMS Alerts,how to get sms alerts?
77,SMS Alerts,i want sms notifications for my account transactions
77,SMS Alerts,how to get text alerts for transfers?
77,SMS Alerts,text notifications for deposits
77,SMS Alerts,text reminders for transactions
77,SMS Alerts,how to get sms reminders for transactions
77,SMS Alerts,
78,Reset PIN,how to reset my PIN?
78,Reset PIN,i need to reset my card pin.
78,Reset PIN,please reset my pin
78,Reset PIN,pin reset needed
78,Reset PIN,i have to get my card pin resetted
78,Reset PIN,i need to reset internet banking pin
78,Reset PIN,how to reset phone banking pin?
78,Reset PIN,atm card pin reset 
78,Reset PIN,how to reset atm card pin
78,Reset PIN,internet banking pin not working
78,Reset PIN,cannot log into internet banking.
78,Reset PIN,reset credit card PIN
83,Unsuccessful card transaction,why was my credit card transaction unsuccessful?
83,Unsuccessful card transaction,my credit card transaction did not go through
83,Unsuccessful card transaction,credit card transaction not successful.
83,Unsuccessful card transaction,unsuccessful credit card transaction.
83,Unsuccessful card transaction,could not make purchase on credit card.
83,Unsuccessful card transaction,credit card did not work when i tried purchasing something.
83,Unsuccessful card transaction,i could not make credit card payment overseas
83,Unsuccessful card transaction,unable to make overseas credit card payments
83,Unsuccessful card transaction,unable to use my credit card overseas
84,Card Renewal,"my card is expiring soon, are you going to send a replacement?"
84,Card Renewal,how to renew my credit card?
84,Card Renewal,i need to renew my card. it is expiring soon.
84,Card Renewal,card is expiring. how to renew?
84,Card Renewal,can you help me renew my card?
86,Card activation for overseas use,activate credit card for overseas
86,Card activation for overseas use,credit card for overseas
86,Card activation for overseas use,going overseas. need to use credit card
86,Card activation for overseas use,need to use credit card overseas
86,Card activation for overseas use,please activate my credit card for overseas use
89,Replace Card,please send me a new card
89,Replace Card,i need a card replacement
89,Replace Card,send a new card
89,Replace Card,i want to replace my card
89,Replace Card,request for card replacement
89,Replace Card,how to get a new card?
89,Replace Card,how to get a replacement?
90,Lost or compromised cards,i lost my card
90,Lost or compromised cards,lost credit card
90,Lost or compromised cards,my card is missing
90,Lost or compromised cards,misplaced my card
90,Lost or compromised cards,I think my credit card has been compromised
90,Lost or compromised cards,credit card has been hacked
90,Lost or compromised cards,i misplaced my credit card
90,Lost or compromised cards,how to report missing credit card?
90,Lost or compromised cards,how to report a missing card?
92,Damaged or Faulty card,my card is damaged
92,Damaged or Faulty card,my card is faulty
92,Damaged or Faulty card,card is not working anymore
92,Damaged or Faulty card,card has errors
92,Damaged or Faulty card,I scratched my credit card. how can I get it replaced?
92,Damaged or Faulty card,my credit card has been bent out of shape. 
92,Damaged or Faulty card,my credit card is broken
92,Damaged or Faulty card,i think my credit card has been damaged
92,Damaged or Faulty card,my card is not working.
92,Damaged or Faulty card,i think my card is faulty. can i have a replacement?
92,Damaged or Faulty card,i think my credit card has been damaged
93,Promotions,what promotions do you have?
93,Promotions,what promotions are available?
93,Promotions,promotions
93,Promotions,I want to see promotions
93,Promotions,view promotions
93,Promotions,where are your promotions
93,Promotions,show your promotions
93,Promotions,christmas promotions
93,Promotions,chinese new year promotions
93,Promotions,holiday promotions
93,Promotions,national day promotions
93,Promotions,labour day promotions
93,Promotions,let me see your promotions
93,Promotions,please show promotions
95,Card Promotions,what card promotions do you have?
95,Card Promotions,what card promotions are available?
95,Card Promotions,card promotions
95,Card Promotions,I want to see card promotions
95,Card Promotions,view card promotions
95,Card Promotions,view credit card promotions.
95,Card Promotions,where are your card promotions
95,Card Promotions,show your card promotions
95,Card Promotions,what credit card promotions do u have?
95,Card Promotions,do u have any card promotions?
95,Card Promotions,let me see your card promotions
95,Card Promotions,please show card promotions
96,Open Account,i want to open an account
96,Open Account,where can i sign up for an account?
96,Open Account,help me set up a bank account
96,Open Account,how to open a bank account?
96,Open Account,i want to sign up for a bank account
96,Open Account,bank account registration
96,Open Account,steps for signing up for a bank account.
96,Open Account,
97,Open OCBC Singapore Account,open an OCBC account in singapore
97,Open OCBC Singapore Account,how to open Singapore OCBC account
97,Open OCBC Singapore Account,help me set up a bank account in singapore
97,Open OCBC Singapore Account,how to open a bank account in singapore?
97,Open OCBC Singapore Account,i want to sign up for a bank account in singapore
97,Open OCBC Singapore Account,singapoeran bank account registration
97,Open OCBC Singapore Account,steps for signing up for a Singaporean bank account.
98,Open OCBC Securities Account ,how to open a securities account?
98,Open OCBC Securities Account ,i want to open a securities account
98,Open OCBC Securities Account ,steps to open securities account
98,Open OCBC Securities Account ,open a securities account
98,Open OCBC Securities Account ,please open a securities account for me
99,Open OCBC Malaysia Account,open bank account in malaysia
99,Open OCBC Malaysia Account,how to open account in malaysia?
99,Open OCBC Malaysia Account,open Malaysian bank account
99,Open OCBC Malaysia Account,open OCBC account in Malaysia
99,Open OCBC Malaysia Account,i am a malysian living in malaysia. How to open an ocbc account?
99,Open OCBC Malaysia Account,i want to open an account in malaysia.
99,Open OCBC Malaysia Account,
100,Open NISP Account,how to open NSIP account
100,Open NISP Account,where can i sign up for a NISP account?
100,Open NISP Account,help me set up a NISP account
100,Open NISP Account,i want to sign up for a NISP account
100,Open NISP Account,NISP bank account registration
100,Open NISP Account,i want to open an NSIP account
100,Open NISP Account,
101,Card Cancellation,I want to cancel my card
101,Card Cancellation,how to cancel card
101,Card Cancellation,card cancellation 
101,Card Cancellation,I want to terminate my card
101,Card Cancellation,how to terminate card
101,Card Cancellation,card termination
101,Card Cancellation,
102,Cancel Credit or Debit Card,how do i cancel my frank credit card?
102,Cancel Credit or Debit Card,how do I cancel debit card?
102,Cancel Credit or Debit Card,how to cancel credit card?
102,Cancel Credit or Debit Card,how to cancel debit card?
102,Cancel Credit or Debit Card,cancel frank credit card
102,Cancel Credit or Debit Card,cancel credit card
102,Cancel Credit or Debit Card,cancel debit card
102,Cancel Credit or Debit Card,debit card cancellation
102,Cancel Credit or Debit Card,i want to terminate my credit card
102,Cancel Credit or Debit Card,I want to terminate my debit card
102,Cancel Credit or Debit Card,how do i shut down my credit card?
102,Cancel Credit or Debit Card,show down my debit card
102,Cancel Credit or Debit Card,i dont want my credit card anymore
102,Cancel Credit or Debit Card,I don't want to use my debit card anymore
102,Cancel Credit or Debit Card,please cancel my credit card
102,Cancel Credit or Debit Card,please cancel my debit card
102,Cancel Credit or Debit Card,terminate my credit card
102,Cancel Credit or Debit Card,i dont want to use my non plus card anymore
102,Cancel Credit or Debit Card,i want to terminate my non plus credit card
102,Cancel Credit or Debit Card,i dont want to use my plus card anymore
102,Cancel Credit or Debit Card,cancel my plus card
102,Cancel Credit or Debit Card,i want to terminate my plus credit card
102,Cancel Credit or Debit Card,how to cancel plus card
102,Cancel Credit or Debit Card,cancelling my plus card
103,Cancel ATM Card,how do i cancel my atm card
103,Cancel ATM Card,how to cancel atm card?
103,Cancel ATM Card,cancel atm card
103,Cancel ATM Card,atm card cancellation
103,Cancel ATM Card,please cancel my atm card
103,Cancel ATM Card,steps for cancelling atm card
103,Cancel ATM Card,cancellation of atm card
103,Cancel ATM Card,i dont want to use my atm card anymore
104,Speak with a customer service officer,i want to speak with a customer service officer
104,Speak with a customer service officer,can i speak to a bank officer?
104,Speak with a customer service officer,i want to talk to a human being
104,Speak with a customer service officer,can i speak with a human?
104,Speak with a customer service officer,contact customer representative
104,Speak with a customer service officer,put me through to a customer service officer
104,Speak with a customer service officer,can someone call me back?
104,Speak with a customer service officer,speak to bank officer
104,Speak with a customer service officer,talk to human
104,Speak with a customer service officer,speak with person
104,Speak with a customer service officer,talk to person
104,Speak with a customer service officer,i dont want to speak with a chatbot
104,Speak with a customer service officer,i dont want to talk to a chatbot
104,Speak with a customer service officer,i dont want to talk to a bot
104,Speak with a customer service officer,i want to talk to a real person
104,Speak with a customer service officer,i want to talk to a bank officer
104,Speak with a customer service officer,i want to talk to a customer service officer
111,Request for sponsorship,how can i get ocbc to sponsor my event?
111,Request for sponsorship,can ocbc sponsor my school event?
111,Request for sponsorship,how to engage ocbc as a sponsor?
111,Request for sponsorship,i want a sponsor for my event
111,Request for sponsorship,i am looking for a sponsor for a charity event
111,Request for sponsorship,does ocbc give sponsorship for charitable events?
111,Request for sponsorship,will OCBC provide sponsorship for event?
111,Request for sponsorship,sponsorship for charity event
111,Request for sponsorship,i want to get sponsorship for my charity
111,Request for sponsorship,can ocbc give sponsorships for events?
112,Repricing,how to request for a repricing of my loan?
112,Repricing,i want to reprice my loan
112,Repricing,how to reprice?
112,Repricing,i need to reprice my loan.
112,Repricing,How can i reprice the loan?
112,Repricing,what are the repricing options for loans?
112,Repricing,show me the loan repricing options
112,Repricing,how to go about repricing my loan?
112,Repricing,what are my loan repricing options?
112,Repricing,repricing options?
112,Repricing,show me how to reprice my loan
114,Reprice home loan,I need to reprice my home loan
114,Reprice home loan,how can i reprice my house loan?
114,Reprice home loan,repricing options for house loan
114,Reprice home loan,show me how to reprice my home loan
114,Reprice home loan,can i reprice my housing loan?
114,Reprice home loan,i'm exploring repricing options for my house loan
114,Reprice home loan,what are the repricing options for home loans?
115,Service Fee,why was i charged a service fee?
115,Service Fee,why must i pay service fee?
115,Service Fee,i want to waive my service fee.
115,Service Fee,why should i have to pay service fee?
115,Service Fee,i don't want to pay service fees.
115,Service Fee,how to waive the service fee.
115,Service Fee,why must i pay fees for my account?
115,Service Fee,why was i charged fees for my account?
115,Service Fee,why was i charged additional fees?
115,Service Fee,i dont want to pay additional transaction fees
115,Service Fee,how to waive transaction fee?
115,Service Fee,why must i pay additional transaction fees?
120,Token Replacement,i need to replace my token
120,Token Replacement,how do i replace my token?
120,Token Replacement,i need a new token
120,Token Replacement,how to get a new token
120,Token Replacement,i lost my token and need to replace it
120,Token Replacement,where can i get a new token?
120,Token Replacement,where can i replace my token?
120,Token Replacement,i want to get a new token.
121,Request for account fee waiver,i want to waive the fee charged to my account
121,Request for account fee waiver,bank account fee waiver
121,Request for account fee waiver,why do i have to pay a fee for my account?
121,Request for account fee waiver,please waive my account fee
121,Request for account fee waiver,i want a waiver for my account
121,Request for account fee waiver,give me a waiver for my bank account.
121,Request for account fee waiver,account fee waiver
121,Request for account fee waiver,what is the minimum balance needed for my account
121,Request for account fee waiver,account minimum balance
121,Request for account fee waiver,
122,Uplift suspension on accounts,why is my account suspended?
122,Uplift suspension on accounts,how do i unsuspend my account?
122,Uplift suspension on accounts,i need to unsuspend my account
122,Uplift suspension on accounts,how to uplift suspension on accounts?
122,Uplift suspension on accounts,account suspended. I need to access my account.
122,Uplift suspension on accounts,help with suspended account
122,Uplift suspension on accounts,i have been locked out of my account
122,Uplift suspension on accounts,unable to use my account
122,Uplift suspension on accounts,why am i locked out of my account?
122,Uplift suspension on accounts,how to unlock my account?
122,Uplift suspension on accounts,i need help to unlock my account
122,Uplift suspension on accounts,need help unlocking my account
122,Uplift suspension on accounts,
123,Loan Enquiry,how to apply for loan?
123,Loan Enquiry,i need to borrow money
123,Loan Enquiry,where can i get a quick loan?
123,Loan Enquiry,am i allowed to apply for a loan?
123,Loan Enquiry,what do i need to apply for a loan?
123,Loan Enquiry,criteria for applying for a loan
123,Loan Enquiry,what kind of loans do you have
123,Loan Enquiry,types of loans
123,Loan Enquiry,i want a loan
123,Loan Enquiry,i want to apply for a loan
123,Loan Enquiry,how to get a loan?
123,Loan Enquiry,how to borrow money from the bank?
124,Card Application,how do I apply for a card?
124,Card Application,application for cards
124,Card Application,cards application
124,Card Application,I want to get a card
124,Card Application,where can I apply for a card?
125,Apply for credit or debit cards,how do i apply for a credit card?
125,Apply for credit or debit cards,i want to apply for a debit card.
125,Apply for credit or debit cards,steps for applying for a credit card
125,Apply for credit or debit cards,do i qualify for a credit card?
125,Apply for credit or debit cards,i want to apply for a debit card
125,Apply for credit or debit cards,apply for debit card
125,Apply for credit or debit cards,am I eligible for credit card
125,Apply for credit or debit cards,how old must I be to get a credit card
125,Apply for credit or debit cards,how high must my income be for a credit card?
126,Apply for ATM card,how to apply for an atm card
126,Apply for ATM card,i want an atm card
126,Apply for ATM card,please give me an atm card
126,Apply for ATM card,atm card application process
126,Apply for ATM card,i need a atm card
126,Apply for ATM card,where can i get an atm card
126,Apply for ATM card,how to get an atm card?
127,Paying a cancelled credit card,how to pay for a cancelled credit card?
127,Paying a cancelled credit card,how can i pay for a credit card that has already been cancelled?
127,Paying a cancelled credit card,i need  to pay for my cancelled credit card.
127,Paying a cancelled credit card,paying for a cancelled credit card
127,Paying a cancelled credit card,paying for credit card which has been cancelled
127,Paying a cancelled credit card,"i just cancelled my credit card, how can i pay my balance?"
127,Paying a cancelled credit card,pay outstanding charges for cancelled credit card
127,Paying a cancelled credit card,how to pay my outstanding balance for credit card?
127,Paying a cancelled credit card,
127,Paying a cancelled credit card,
128,How to close my account,how to close my bank account?
128,How to close my account,i want to shut down my account.
128,How to close my account,i need to terminate my account
128,How to close my account,shut down my bank accout
128,How to close my account,close my bank acct
128,How to close my account,close bank account online
128,How to close my account,how to close bank acct?
129,Card dispute,how to check credit card transaction
129,Card dispute,money deducted for transaction i did not make
129,Card dispute,wrong deduction for credit card transaction
129,Card dispute,why am i charged for something i did not pay
129,Card dispute,credit card transaction dispute
129,Card dispute,card deduction is wrong.
129,Card dispute,there is a mistake in my credit card transaction
129,Card dispute,extra charges in my credit card statement
130,Change credit card limit,how to change credit card limit?
130,Change credit card limit,i need to change my credit card limit
130,Change credit card limit,i want to change my credit card limit
130,Change credit card limit,show me how to change card limit
130,Change credit card limit,change card limit
130,Change credit card limit,help to change my credit card limit
131,Increase credit card limit,i want to increase my credit card limit
131,Increase credit card limit,raise my card limit
131,Increase credit card limit,how to raise credit card limit?
131,Increase credit card limit,i need a higher credit limit
131,Increase credit card limit,i want to spend more on my credit card
131,Increase credit card limit,i want to raise my credit card limit
131,Increase credit card limit,how to increase card limit?
132,Decrease credit card limit,please reduce my credit card limit
132,Decrease credit card limit,how to decrease my card limit?
132,Decrease credit card limit,lower my credit card limit
132,Decrease credit card limit,reduce my credit card limit
132,Decrease credit card limit,i want to reduce my card limit
132,Decrease credit card limit,how to lower my card limit?
132,Decrease credit card limit,reduce card limit
133,Credit card application rejection,why was my credit card application rejected?
133,Credit card application rejection,i got rejected for my credit card. why?
133,Credit card application rejection,reason for credit card rejection?
133,Credit card application rejection,unsuccessful application of credit card.
133,Credit card application rejection,i dont know why my credit card application was rejected
133,Credit card application rejection,why didn't my card application get approved?
133,Credit card application rejection,what are the requirements for credit card application?
133,Credit card application rejection,why was my credit card application unsuccessful?
133,Credit card application rejection,unsuccessful application of credit card
134,Rebates,why are my credit card rebates so low this month?
134,Rebates,how to check rebates?
134,Rebates,credit card rebates too low!
134,Rebates,i want to check my rebates
134,Rebates,rebate entitlement
134,Rebates,what rebates do i have?
134,Rebates,where can i view my rebates?
135,How to redeem rewards,how do i redeem my rewards?
135,How to redeem rewards,how to get my ocbc$?
135,How to redeem rewards,i want to redeem my points
135,How to redeem rewards,how to make redemption?
135,How to redeem rewards,how to redeem ROB$ rewards?
135,How to redeem rewards,how to get my voyage miles?
135,How to redeem rewards,i want to make a redemption
135,How to redeem rewards,how can i redeem my voyage miles?
135,How to redeem rewards,redemption of ocbc$
135,How to redeem rewards,make a redemption for voyage miles
136,Update details,how do i update my home address?
136,Update details,how to update personal particulars?
136,Update details,"i just moved house, how to update my address?"
136,Update details,"i shifted house, how to update home address?"
136,Update details,i need to update my house address
136,Update details,where can i change my phone number?
136,Update details,i would like to update my phone number.
136,Update details,how to update telephone number
136,Update details,update my telephone number
136,Update details,where to update contact number
136,Update details,i need to update contact number
136,Update details,how to update contact number
136,Update details,update mailing address
136,Update details,i need to update my email address.
136,Update details,how to update email address?
136,Update details,can i update my email address?